id,SalePrice
1461,120485.44692049082
1462,153741.55060453387
1463,175239.58502197938
1464,195019.1341416813
1465,197345.7923360331
1466,171511.31191326538
1467,174371.47409108837
1468,166090.40533332745
1469,189965.33513813012
1470,121984.46570618916
1471,189284.21700226454
1472,98289.12069125907
1473,97367.67001898128
1474,143364.1568175769
1475,112710.66084816886
1476,361777.6277408809
1477,253242.13152368393
1478,288131.27669573255
1479,279578.17707553436
1480,509143.8541309671
1481,327059.22095148393
1482,212159.84751246579
1483,173275.0201635447
1484,165866.8966054259
1485,181977.78464952842
1486,194803.42594173155
1487,332671.4848220201
1488,247431.98760491487
1489,193685.38818207016
1490,230725.29744804802
1491,192226.57842159283
1492,90599.13406006701
1493,171346.01708617614
1494,287623.53465328744
1495,291454.5484256348
1496,232765.11356024275
1497,181644.63842453255
1498,170667.66776838628
1499,163537.971914087
1500,162675.6734328688
1501,179966.83715941553
1502,152355.85606167087
1503,286143.4367818857
1504,240746.63987172648
1505,225825.414216427
1506,187644.33457143145
1507,244228.40596478217
1508,193879.3112393219
1509,158599.2203719326
1510,142750.01383367504
1511,149737.67006079428
1512,170742.16003703233
1513,140194.26217813796
1514,140194.01629219
1515,187861.64127241823
1516,154502.33014560567
1517,163221.42316994484
1518,130053.84977547295
1519,210490.13569024246
1520,129952.32999408437
1521,130690.09906614403
1522,174685.25617869874
1523,111892.78241898074
1524,122865.60226616904
1525,123315.87199628941
1526,110203.6024331408
1527,103933.62493102127
1528,140432.33296118528
1529,146895.83764935427
1530,187443.76802786626
1531,105811.44365309639
1532,94513.94360002836
1533,142649.06683017002
1534,125801.81526753721
1535,149495.53150056134
1536,106739.36342172834
1537,55458.13717742485
1538,150603.87868973167
1539,176487.61785084842
1540,88059.66900479344
1541,132840.65760819384
1542,138388.45273815107
1543,198241.37343264732
1544,84890.14117086699
1545,113435.77058227226
1546,127722.0389465485
1547,132384.07109684154
1548,133677.3357419283
1549,119599.13997995571
1550,128071.63301169261
1551,103580.07927515733
1552,135170.72911435788
1553,146152.86912842141
1554,120509.58830250213
1555,158331.61648235863
1556,88224.27491585843
1557,99241.62138087537
1558,98711.00426704048
1559,73595.44203699088
1560,124140.9562940565
1561,117510.16690883927
1562,128490.56876913705
1563,121253.35331523481
1564,158099.8277136907
1565,144656.35979524103
1566,226339.63649928276
1567,75562.6839449968
1568,228761.08511277268
1569,121681.16723840195
1570,137630.253412778
1571,121381.98250746701
1572,143213.30813440686
1573,231196.6241908014
1574,112509.55449503
1575,227289.81135256068
1576,243256.11123927066
1577,178871.86510720733
1578,135868.10392537786
1579,148197.13753578046
1580,188833.7885582947
1581,150757.64068867196
1582,127265.07422742448
1583,300838.51639287424
1584,218022.17534081286
1585,141745.25157564317
1586,70158.91932461818
1587,102921.30087357813
1588,155715.90610707976
1589,93655.78856431405
1590,137426.53178219052
1591,95955.84145439466
1592,112351.3299145283
1593,122255.34787167796
1594,116689.32601333331
1595,100369.81678661973
1596,232814.9011146593
1597,186182.23847263237
1598,210471.28270947115
1599,164428.46994201778
1600,157921.63003867044
1601,62573.61983962111
1602,109341.98044171595
1603,81945.86971248865
1604,262607.47397406306
1605,242063.81577407924
1606,168329.29525918255
1607,172140.70467263146
1608,209982.3588722479
1609,180749.9158994787
1610,152107.62865813132
1611,137009.6261248761
1612,168476.96836258878
1613,163656.56459710113
1614,121927.40803913158
1615,92201.70298701983
1616,79814.67633555488
1617,95957.89335233561
1618,126189.85931048442
1619,139639.74442346962
1620,131388.0059265839
1621,142260.60340462517
1622,140472.84705358336
1623,261796.03858759743
1624,210708.25122532347
1625,117732.24559067702
1626,166860.7819091758
1627,191707.54503322023
1628,275005.96042276523
1629,171999.9207627637
1630,354780.812552184
1631,228970.4660675516
1632,239328.20236751507
1633,168200.27725975256
1634,184999.36429329144
1635,178165.7493334657
1636,153795.073453347
1637,191387.4340494536
1638,181870.84455776663
1639,179549.57573970468
1640,254039.9619987397
1641,174957.02915051844
1642,239363.80230668726
1643,218974.99146291215
1644,233796.58981979048
1645,195905.4064802658
1646,157565.49496852615
1647,155511.18298428945
1648,128781.94043867508
1649,142028.16197493466
1650,114392.10234691501
1651,122844.57190468139
1652,99921.45100375521
1653,101560.59517524636
1654,143540.6886760824
1655,130355.24364389293
1656,138768.68357045995
1657,145688.46696765174
1658,144348.60247598912
1659,120742.27852317339
1660,147426.76484581848
1661,438953.5217163706
1662,397285.26057274255
1663,385875.9146031918
1664,532071.5072259805
1665,306736.1054141037
1666,325254.56967080105
1667,376176.30340019386
1668,343251.39872241544
1669,303643.44368887367
1670,349371.4946750179
1671,267449.7200849562
